refPeriodId,refYear,flowDesc,partnerDesc,primaryValue
20210101,2021,Import,USA,1443220476
20210101,2021,Export,USA,1351342126
20210101,2021,Import,USA,68115458890
20210101,2021,Import,USA,26504072492
20210101,2021,Import,USA,17294650570
20210101,2021,Import,USA,1551410775
20210101,2021,Import,USA,161819927.4
20210101,2021,Import,USA,19568052542
20210101,2021,Import,USA,198253152.7
20210101,2021,Import,USA,393144692
20210101,2021,Import,USA,2444054738
20210101,2021,Export,USA,1.20729E+11
20210101,2021,Export,USA,50713796936
20210101,2021,Export,USA,68003409874
20210101,2021,Export,USA,43739.306
20210101,2021,Export,USA,59223188.77
20210101,2021,Export,USA,1952522015
20210101,2021,Import,USA,6226083891
20210101,2021,Export,USA,663486909.4
20210101,2021,Import,USA,2267665057
20210101,2021,Export,USA,299013527.9
20210101,2021,Import,USA,3774896333
20210101,2021,Export,USA,364437074.6
20210101,2021,Import,USA,183522501.3
20210101,2021,Export,USA,36306.776
20210101,2021,Import,USA,5381591657
20210101,2021,Export,USA,14001538550
20210101,2021,Import,USA,3778602533
20210101,2021,Export,USA,768454350.1
20210101,2021,Import,USA,1518984377
20210101,2021,Export,USA,13229457306
20210101,2021,Import,USA,706.149
20210101,2021,Import,USA,68411916.33
20210101,2021,Export,USA,336567.53
20210101,2021,Import,USA,15592124.09
20210101,2021,Export,USA,3290326.489
20210101,2021,Import,USA,5632640379
20210101,2021,Export,USA,7858662885
20210101,2021,Import,USA,212829765.5
20210101,2021,Export,USA,1572881981
20210101,2021,Import,USA,5417901295
20210101,2021,Export,USA,6285776182
20210101,2021,Import,USA,1909.437
20210101,2021,Import,USA,1345828.594
20210101,2021,Import,USA,5942.046
20210101,2021,Export,USA,4722.065
20210101,2021,Import,USA,555638.001
20210101,2021,Import,USA,1443220476
20210101,2021,Export,USA,1351342126
20210101,2021,Import,USA,1443220476
20210101,2021,Export,USA,1351342126
20220101,2022,Import,USA,99761080104
20220101,2022,Export,USA,1.65538E+11
20220101,2022,Import,USA,34721296468
20220101,2022,Export,USA,62075746709
20220101,2022,Import,USA,36481217138
20220101,2022,Export,USA,99313504190
20220101,2022,Import,USA,2669056049
20220101,2022,Import,USA,435723162.4
20220101,2022,Import,USA,19170518135
20220101,2022,Export,USA,38151.952
20220101,2022,Import,USA,2283006161
20220101,2022,Import,USA,444013258.2
20220101,2022,Export,USA,56020765.5
20220101,2022,Import,USA,2175919500
20220101,2022,Export,USA,2532024241
20220101,2022,Import,USA,1380330232
20220101,2022,Export,USA,1560495163
20220101,2022,Import,USA,78503319112
20220101,2022,Import,USA,28174385079
20220101,2022,Import,USA,23339166434
20220101,2022,Import,USA,2669056049
20220101,2022,Import,USA,435723162.4
20220101,2022,Import,USA,18995699051
20220101,2022,Import,USA,2283006161
20220101,2022,Import,USA,443999409.6
20220101,2022,Import,USA,2162283766
20220101,2022,Export,USA,1.3187E+11
20220101,2022,Export,USA,54614526998
